log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Warning: we failed to resolve data source name bn654 bn655 bn656 bn657 bn658 bn659 bn660 bn661 bn662 bn663 bn664 bn665 bn666 bn667 bn668 bn669 bn670 bn671 bn672 bn673 bn674 bn675 bn676 bn677 bn678 bn679 bn680 bn681 bn682 bn683 bn684 bn685 bn686 bn687 bn688 bn689 bn690 bn691 bn692 bn693 bn694 bn695 bn696 bn697 bn698 bn699 bn700 bn701 bn702 bn703 bn704 bn705 bn706 bn707 bn708 bn709 bn710 bn711 bn712 bn713 bn714 bn715 bn716 bn717 bn718 bn719 bn720 bn721 bn722 bn723 bn724 bn725 bn726 bn727 bn728 bn729 bn730 bn731 bn732 bn733 bn734 bn735 bn736 bn737 bn738 bn739 bn740 bn741 bn742 bn743 bn744 bn745 bn746 bn747 bn748 bn749 bn750 bn751 bn752 bn753 bn754 bn755 bn756 bn757 bn758 bn759 bn760 bn761 bn762 bn763 bn764 bn765 bn766 bn767 bn768,partial,Warning: we failed to resolve data source name <*>,0.9188,Warning: we failed to resolve <*> name dadmin<*> dadmin<*> dadmin4,0.485,Wait for ready failed before probe !,0.3542,79.11,146
2,Warning: we failed to resolve data source name dadmin2 dadmin3 dadmin4,partial,Warning: we failed to resolve <*> name dadmin<*> dadmin<*> dadmin4,0.9455,Warning: we failed to resolve data source name <*>,0.5947,My unqualified host name <*> unknown; sleeping for retry,0.43,47.82,146
3,"connection from ""#28#""",exact,"connection from ""#28#""",1.0,<*> (Release Date: <*> 2004),0.5101,Received SNMP packet(s) from #34#,0.4894,46.19,146
4,data_thread() got not answer from any [Thunderbird_C6] datasource,exact,data_thread() got not answer from any <*> datasource,0.99,asking for cache data failed,0.297,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2877,51.22,146
5,RRD_update (/var/lib/ganglia/rrds/C Nodes/cn776/pkts_out.rrd): illegal attempt to update using time 1131559854 when last update time is 1131559854 (minimum one second step),exact,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time when<*> when last update time is <*> (minimum one second step),0.9927,rpc.statd startup succeeded,0.3462,kernel time sync <*>,0.3439,48.61,146
6,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131559854 when last update time is 1131559854 (minimum one second step),exact,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time when<*> when last update time is <*> (minimum one second step),0.9974,kernel time sync <*>,0.3501,rpc.statd startup succeeded,0.3292,48.19,146
7,RRD_update (/var/lib/ganglia/rrds/unspecified/badmin3/disk_total.rrd): illegal attempt to update using time 1131559854 when last update time is 1131559854 (minimum one second step),partial,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time when<*> when last update time is <*> (minimum one second step),0.9146,Disk quotas dquot_6.5.1,0.3723,Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda,0.3534,73.79,146
8,data_thread() got not answer from any [Thunderbird_A1] datasource,partial,data_thread() got not answer from any <*> datasource,0.9732,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2839,asking for cache data failed,0.2757,61.06,146
9,data_thread() got not answer from any [Thunderbird_A2] datasource,partial,data_thread() got not answer from any <*> datasource,0.9818,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.29,asking for cache data failed,0.2878,69.08,146
10,data_thread() got not answer from any [Thunderbird_A3] datasource,partial,data_thread() got not answer from any <*> datasource,0.9865,asking for cache data failed,0.2981,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2872,56.84,146
11,data_thread() got not answer from any [Thunderbird_A4] datasource,exact,data_thread() got not answer from any <*> datasource,0.9915,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2997,asking for cache data failed,0.2979,53.92,146
12,data_thread() got not answer from any [Thunderbird_A5] datasource,partial,data_thread() got not answer from any <*> datasource,0.9898,asking for cache data failed,0.299,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.283,62.1,146
13,data_thread() got not answer from any [Thunderbird_A6] datasource,exact,data_thread() got not answer from any <*> datasource,0.9924,asking for cache data failed,0.2937,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2896,51.72,146
14,data_thread() got not answer from any [Thunderbird_A7] datasource,partial,data_thread() got not answer from any <*> datasource,0.9885,asking for cache data failed,0.2967,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2887,72.66,146
15,data_thread() got not answer from any [Thunderbird_A8] datasource,partial,data_thread() got not answer from any <*> datasource,0.9879,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.3043,asking for cache data failed,0.2966,64.69,146
16,data_thread() got not answer from any [Thunderbird_B1] datasource,partial,data_thread() got not answer from any <*> datasource,0.9843,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2996,asking for cache data failed,0.2968,65.93,146
