log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,cancelAutohide,exact,cancelAutohide,1.0,suspendAutohide,0.7907,resumeSuspendedAutohide,0.6555,73.53,209
2,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",exact,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",1.0,onNotificationVisibilityChanged called,0.6485,<*> I NotificationManager: <*> called,0.6286,61.5,209
3,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,exact,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,1.0,<*> W ActivityManager: getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,0.8241,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,0.8139,60.14,209
4,"release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",exact,"release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",1.0,"release:lock=<*>, flg=<*>, tag=""WindowManager"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",0.8903,"acquire lock=<*>, flags=<*>, tag=""*launch*"", name=android, ws=WorkSource{<*>}, uid=<*>, pid=<*>",0.8405,62.27,209
5,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",exact,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",1.0,"<*> D PowerManagerService: ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",0.7294,"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",0.5091,64.24,209
6,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",exact,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",1.0,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",0.91,"<*> D PowerManagerService: <*> suspend blocker ""PowerManagerService.WakeLocks"".",0.899,60.69,209
7,<*><*> <*>:<*>:<*>.<*> <*> <*> I WindowManager: Destroying surface Surface(name=<*><*>.<*>) called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*>,exact,<*> I WindowManager: Destroying surface Surface<*> called by com.android.server.wm.WindowStateAnimator.destroySurface<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked<*> com.android.server.wm.WindowState.removeLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindow<*>,0.9928,<*> I WindowManager: Destroying surface Surface(name=SurfaceView - <*><*>.<*>) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow<*> com.android.server.wm.Session.performDeferredDestroy<*> android.view.IWindowSession<*> com.android.server.wm.Session.onTransact<*> android.os.Binder.execTransact<*> <bottom of call stack> <bottom of call stack>,0.9012,Destroying surface Surface(name=PopupWindow:<*>) called by com.android.server.wm.WindowStateAnimator.destroySurface<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked<*> com.android.server.wm.WindowState.removeLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindow<*>,0.8098,65.79,209
8,<*><*> <*>:<*>:<*>.<*> <*> <*> I WindowManager: Destroying surface Surface(name=<*><*>.<*>) called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*>,exact,<*> I WindowManager: Destroying surface Surface<*> called by com.android.server.wm.WindowStateAnimator.destroySurface<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked<*> com.android.server.wm.WindowState.removeLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindow<*>,0.995,<*> I WindowManager: Destroying surface Surface(name=SurfaceView - <*><*>.<*>) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow<*> com.android.server.wm.Session.performDeferredDestroy<*> android.view.IWindowSession<*> com.android.server.wm.Session.onTransact<*> android.os.Binder.execTransact<*> <bottom of call stack> <bottom of call stack>,0.9012,Destroying surface Surface(name=PopupWindow:<*>) called by com.android.server.wm.WindowStateAnimator.destroySurface<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked<*> com.android.server.wm.WindowState.removeLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindowLocked<*> com.android.server.wm.WindowManagerService.removeWindow<*>,0.8098,65.63,209
9,<*><*> <*>:<*>:<*>.<*> <*> <*> W ActivityManager: getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,exact,<*> W ActivityManager: getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,1.0,<*> W ActivityManager: getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,0.9301,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,0.8241,62.04,209
10,<*><*> <*>:<*>:<*>.<*> <*> <*> W ActivityManager: getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,exact,<*> W ActivityManager: getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,1.0,<*> W ActivityManager: getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,0.9301,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,0.8241,62.49,209
